variant,config,rows,exact_matches,exact_match_rate,avg_edit_distance,avg_char_accuracy,avg_confidence,median_confidence,length_5_count,empty_count
box_k4,margin,32,3,0.093750,3.218750,0.379167,0.251912,0.146178,7,2
box_k5_soft_contrast,margin,32,0,0.000000,3.156250,0.384524,0.188626,0.122300,9,3
box_k5,margin,32,0,0.000000,3.187500,0.376190,0.143872,0.098819,11,2
box_k5_dark_text,margin,32,0,0.000000,3.625000,0.302083,0.113239,0.049488,11,4
gauss_k5,margin,32,0,0.000000,3.968750,0.206250,0.154981,0.065667,3,2
box_k3,margin,32,0,0.000000,4.000000,0.200000,0.128470,0.068861,1,4
box_k6,margin,32,0,0.000000,4.531250,0.192857,0.056250,0.023478,7,3
gauss_k3,margin,32,0,0.000000,4.437500,0.117708,0.122095,0.039055,1,6
bg_blend_gauss3,margin,32,0,0.000000,4.593750,0.086458,0.041132,0.010333,3,12
bg_blend_gauss5,margin,32,0,0.000000,4.625000,0.075000,0.054271,0.009671,3,12
original,margin,32,0,0.000000,4.843750,0.031250,0.059369,0.000000,0,22
